iteration;EPT;EPI
66200;1.047E-05;0.000E+00
66300;1.249E-05;0.000E+00
66400;1.015E-05;0.000E+00
66500;6.549E-06;0.000E+00
66600;1.258E-05;0.000E+00
66700;1.162E-05;0.000E+00
66800;7.911E-06;0.000E+00
66900;7.981E-06;0.000E+00
67000;1.424E-05;0.000E+00
67100;1.007E-05;0.000E+00
67200;7.374E-06;0.000E+00
67300;1.109E-05;0.000E+00
67400;1.039E-05;0.000E+00
67500;9.497E-06;0.000E+00
67600;7.125E-06;0.000E+00
67700;1.236E-05;0.000E+00
67800;1.079E-05;0.000E+00
67900;7.386E-06;0.000E+00
68000;1.252E-05;0.000E+00
68100;1.158E-05;0.000E+00
68200;2.585E-05;0.000E+00
68300;3.300E-05;0.000E+00
68400;1.484E-05;0.000E+00
68500;9.851E-06;0.000E+00
68600;7.685E-06;0.000E+00
68700;9.282E-06;0.000E+00
68800;1.258E-05;0.000E+00
68900;1.049E-05;0.000E+00
69000;6.898E-06;0.000E+00
69100;1.191E-05;0.000E+00
69200;1.161E-05;0.000E+00
69300;8.154E-06;0.000E+00
69400;9.110E-06;0.000E+00
69500;1.602E-05;0.000E+00
69600;9.524E-06;0.000E+00
69700;8.533E-06;0.000E+00
69800;1.324E-05;0.000E+00
69900;1.054E-05;0.000E+00
70000;8.782E-06;0.000E+00
70100;8.295E-06;0.000E+00
70200;1.351E-05;0.000E+00
70300;1.000E-05;0.000E+00
70400;6.652E-06;0.000E+00
70500;1.296E-05;0.000E+00
70600;1.170E-05;0.000E+00
70700;9.256E-06;0.000E+00
70800;9.465E-06;0.000E+00
70900;1.346E-05;0.000E+00
71000;1.000E-05;0.000E+00
71100;8.116E-06;0.000E+00
71200;9.821E-06;0.000E+00
71300;1.116E-05;0.000E+00
71400;1.071E-05;0.000E+00
71500;7.301E-06;0.000E+00
71600;1.183E-05;0.000E+00
71700;1.172E-05;0.000E+00
71800;7.702E-06;0.000E+00
71900;1.070E-05;0.000E+00
72000;1.446E-05;0.000E+00
72100;1.041E-05;0.000E+00
72200;7.794E-06;0.000E+00
72300;1.596E-05;0.000E+00
72400;1.125E-05;0.000E+00
72500;8.128E-06;0.000E+00
72600;9.153E-06;0.000E+00
72700;1.299E-05;0.000E+00
72800;1.015E-05;0.000E+00
72900;8.274E-06;0.000E+00
73000;1.270E-05;0.000E+00
73100;1.275E-05;0.000E+00
73200;8.386E-06;0.000E+00
73300;8.566E-06;0.000E+00
73400;1.401E-05;0.000E+00
73500;8.869E-06;0.000E+00
73600;9.059E-06;0.000E+00
73700;9.867E-06;0.000E+00
73800;1.239E-05;0.000E+00
73900;1.026E-05;0.000E+00
74000;7.245E-06;0.000E+00
74100;1.279E-05;0.000E+00
74200;1.150E-05;0.000E+00
74300;8.733E-06;0.000E+00
74400;1.169E-05;0.000E+00
74500;1.309E-05;0.000E+00
74600;1.004E-05;0.000E+00
74700;8.344E-06;0.000E+00
74800;1.672E-05;0.000E+00
74900;1.014E-05;0.000E+00
75000;8.951E-06;0.000E+00
75100;8.731E-06;0.000E+00
75200;1.281E-05;0.000E+00
75300;1.036E-05;0.000E+00
75400;7.562E-06;0.000E+00
75500;1.170E-05;0.000E+00
75600;1.245E-05;0.000E+00
75700;8.962E-06;0.000E+00
75800;7.726E-06;0.000E+00
75900;1.443E-05;0.000E+00
76000;1.002E-05;0.000E+00
76100;7.982E-06;0.000E+00
76200;1.007E-05;0.000E+00
76300;1.052E-05;0.000E+00
76400;9.441E-06;0.000E+00
76500;8.067E-06;0.000E+00
76600;1.293E-05;0.000E+00
76700;1.086E-05;0.000E+00
76800;7.980E-06;0.000E+00
76900;1.193E-05;0.000E+00
77000;1.235E-05;0.000E+00
77100;9.507E-06;0.000E+00
77200;9.127E-06;0.000E+00
77300;1.262E-05;0.000E+00
77400;1.389E-05;0.000E+00
77500;3.965E-05;0.000E+00
77600;4.651E-05;0.000E+00
77700;3.909E-05;0.000E+00
77800;2.452E-05;0.000E+00
77900;1.651E-05;0.000E+00
78000;1.173E-05;0.000E+00
78100;4.778E-05;0.000E+00
78200;2.397E-05;0.000E+00
78300;1.042E-05;0.000E+00
78400;3.356E-05;0.000E+00
78500;4.555E-05;0.000E+00
78600;4.440E-05;0.000E+00
78700;3.408E-05;0.000E+00
78800;2.811E-05;0.000E+00
78900;2.610E-05;0.000E+00
79000;3.428E-05;0.000E+00
79100;3.913E-05;0.000E+00
79200;3.431E-05;0.000E+00
79300;4.084E-05;0.000E+00
79400;3.012E-05;0.000E+00
79500;2.833E-05;0.000E+00
79600;2.019E-05;0.000E+00
79700;3.466E-05;0.000E+00
79800;2.032E-05;0.000E+00
79900;1.458E-05;0.000E+00
80000;3.711E-05;0.000E+00
80100;5.487E-05;0.000E+00
80200;5.464E-05;0.000E+00
80300;1.114E-05;0.000E+00
80400;5.801E-05;0.000E+00
80500;5.747E-05;0.000E+00
80600;1.183E-05;0.000E+00
80700;8.632E-06;0.000E+00
80800;5.804E-05;0.000E+00
80900;1.476E-05;0.000E+00
81000;1.062E-05;0.000E+00
81100;8.755E-06;0.000E+00
81200;1.504E-05;0.000E+00
81300;1.127E-05;0.000E+00
81400;8.975E-06;0.000E+00
81500;8.851E-06;0.000E+00
81600;1.308E-05;0.000E+00
81700;1.050E-05;0.000E+00
81800;7.896E-06;0.000E+00
81900;1.210E-05;0.000E+00
82000;1.324E-05;0.000E+00
